Дата;Время начала;Время окончания;Ср. скор. отв.;Ср. время разговора
01.03.2017;20:00;20:30;0;0
01.03.2017;20:30;21:00;23;263
01.03.2017;21:00;21:30;16;50
01.03.2017;21:30;22:00;0;0
01.03.2017;22:00;22:30;0;0
01.03.2017;22:30;23:00;0;0
01.03.2017;23:00;23:30;0;0
01.03.2017;23:30;0:00;0;0
01.03.2017;0:00;0:30;8;106
01.03.2017;0:30;1:00;9;45
01.03.2017;1:00;1:30;0;0
01.03.2017;1:30;2:00;0;0
01.03.2017;2:00;2:30;18;334
01.03.2017;2:30;3:00;0;0
01.03.2017;3:00;3:30;23;220
01.03.2017;3:30;4:00;0;0
01.03.2017;4:00;4:30;23;69
01.03.2017;4:30;5:00;20;112
01.03.2017;5:00;5:30;21;338
01.03.2017;5:30;6:00;20;166
01.03.2017;6:00;6:30;10;61
01.03.2017;6:30;7:00;5;94
01.03.2017;7:00;7:30;14;92
01.03.2017;7:30;8:00;19;100
01.03.2017;8:00;8:30;172;99
01.03.2017;8:30;9:00;10;112
01.03.2017;9:00;9:30;20;118
01.03.2017;9:30;10:00;72;131
01.03.2017;10:00;10:30;64;152
01.03.2017;10:30;11:00;55;135
01.03.2017;11:00;11:30;91;140
01.03.2017;11:30;12:00;211;149
01.03.2017;12:00;12:30;61;90
01.03.2017;12:30;13:00;95;116
01.03.2017;13:00;13:30;24;141
01.03.2017;13:30;14:00;8;107
01.03.2017;14:00;14:30;37;119
01.03.2017;14:30;15:00;38;121
01.03.2017;15:00;15:30;18;127
01.03.2017;15:30;16:00;8;119
01.03.2017;16:00;16:30;12;99
01.03.2017;16:30;17:00;41;114
01.03.2017;17:00;17:30;29;111
01.03.2017;17:30;18:00;241;116
01.03.2017;18:00;18:30;380;130
01.03.2017;18:30;19:00;625;171
01.03.2017;19:00;19:30;571;171
01.03.2017;19:30;20:00;251;157
01.03.2017;20:00;20:30;301;160
01.03.2017;20:30;21:00;161;145
01.03.2017;21:00;21:30;248;181
01.03.2017;21:30;22:00;14;120
01.03.2017;22:00;22:30;69;206
01.03.2017;22:30;23:00;5;112
01.03.2017;23:00;23:30;15;230
01.03.2017;23:30;0:00;7;346
02.03.2017;0:00;0:30;0;0
02.03.2017;0:30;1:00;7;88
02.03.2017;1:00;1:30;0;0
02.03.2017;1:30;2:00;0;0
02.03.2017;2:00;2:30;7;13
02.03.2017;2:30;3:00;14;122
02.03.2017;3:00;3:30;0;0
02.03.2017;3:30;4:00;21;80
02.03.2017;4:00;4:30;19;124
02.03.2017;4:30;5:00;20;216
02.03.2017;5:00;5:30;7;94
02.03.2017;5:30;6:00;0;0
02.03.2017;6:00;6:30;18;239
02.03.2017;6:30;7:00;8;175
02.03.2017;7:00;7:30;17;112
02.03.2017;7:30;8:00;9;98
02.03.2017;8:00;8:30;20;119
02.03.2017;8:30;9:00;12;124
02.03.2017;9:00;9:30;13;120
02.03.2017;9:30;10:00;17;113
02.03.2017;10:00;10:30;12;125
02.03.2017;10:30;11:00;13;115
02.03.2017;11:00;11:30;23;121
02.03.2017;11:30;12:00;8;110
02.03.2017;12:00;12:30;6;105
02.03.2017;12:30;13:00;9;118
02.03.2017;13:00;13:30;18;122
02.03.2017;13:30;14:00;13;117
02.03.2017;14:00;14:30;6;107
02.03.2017;14:30;15:00;47;113
02.03.2017;15:00;15:30;8;91
02.03.2017;15:30;16:00;6;103
02.03.2017;16:00;16:30;19;127
02.03.2017;16:30;17:00;26;132
02.03.2017;17:00;17:30;11;125
02.03.2017;17:30;18:00;61;104
02.03.2017;18:00;18:30;90;121
02.03.2017;18:30;19:00;44;168
02.03.2017;19:00;19:30;142;133
02.03.2017;19:30;20:00;24;112
02.03.2017;20:00;20:30;16;119
02.03.2017;20:30;21:00;52;141
02.03.2017;21:00;21:30;5;174
02.03.2017;21:30;22:00;6;111
02.03.2017;22:00;22:30;12;101
02.03.2017;22:30;23:00;11;283
02.03.2017;23:00;23:30;5;61
02.03.2017;23:30;0:00;0;0
02.03.2017;0:00;0:30;0;0
02.03.2017;0:30;1:00;0;0
02.03.2017;1:00;1:30;0;0
02.03.2017;1:30;2:00;0;0
02.03.2017;2:00;2:30;0;0
02.03.2017;2:30;3:00;0;0
02.03.2017;3:00;3:30;0;0
02.03.2017;3:30;4:00;0;0
02.03.2017;4:00;4:30;0;0
02.03.2017;4:30;5:00;0;0
02.03.2017;5:00;5:30;0;0
02.03.2017;5:30;6:00;0;0
02.03.2017;6:00;6:30;0;0
02.03.2017;6:30;7:00;0;0
02.03.2017;7:00;7:30;0;0
02.03.2017;7:30;8:00;0;0
02.03.2017;8:00;8:30;17;90
02.03.2017;8:30;9:00;25;307
02.03.2017;9:00;9:30;7;51
02.03.2017;9:30;10:00;6;135
02.03.2017;10:00;10:30;0;0
02.03.2017;10:30;11:00;7;125
02.03.2017;11:00;11:30;0;0
02.03.2017;11:30;12:00;18;55
02.03.2017;12:00;12:30;4;198
02.03.2017;12:30;13:00;8;30
02.03.2017;13:00;13:30;30;67
02.03.2017;13:30;14:00;5;72
02.03.2017;14:00;14:30;7;84
02.03.2017;14:30;15:00;19;209
02.03.2017;15:00;15:30;3;125
02.03.2017;15:30;16:00;0;0
02.03.2017;16:00;16:30;10;209
02.03.2017;16:30;17:00;27;63
02.03.2017;17:00;17:30;0;0
02.03.2017;17:30;18:00;0;0
02.03.2017;18:00;18:30;32;67
02.03.2017;18:30;19:00;0;0
02.03.2017;19:00;19:30;39;151
02.03.2017;19:30;20:00;0;0
02.03.2017;20:00;20:30;0;0
02.03.2017;20:30;21:00;6;232
02.03.2017;21:00;21:30;0;0
02.03.2017;21:30;22:00;0;0
02.03.2017;22:00;22:30;0;0
02.03.2017;22:30;23:00;0;0
02.03.2017;23:00;23:30;0;0
02.03.2017;23:30;0:00;0;0
02.03.2017;0:00;0:30;0;0
02.03.2017;0:30;1:00;0;0
02.03.2017;1:00;1:30;0;0
02.03.2017;1:30;2:00;0;0
02.03.2017;2:00;2:30;0;0
02.03.2017;2:30;3:00;0;0
02.03.2017;3:00;3:30;0;0
02.03.2017;3:30;4:00;0;0
02.03.2017;4:00;4:30;0;0
02.03.2017;4:30;5:00;0;0
02.03.2017;5:00;5:30;0;0
02.03.2017;5:30;6:00;0;0
02.03.2017;6:00;6:30;0;0
02.03.2017;6:30;7:00;0;0
02.03.2017;7:00;7:30;0;0
02.03.2017;7:30;8:00;3;9
02.03.2017;8:00;8:30;38;58
02.03.2017;8:30;9:00;59;73
02.03.2017;9:00;9:30;13;77
02.03.2017;9:30;10:00;41;53
02.03.2017;10:00;10:30;1;24
02.03.2017;10:30;11:00;3;39
02.03.2017;11:00;11:30;17;36
02.03.2017;11:30;12:00;38;82
02.03.2017;12:00;12:30;5;33
02.03.2017;12:30;13:00;21;20
02.03.2017;13:00;13:30;22;58
02.03.2017;13:30;14:00;4;43
02.03.2017;14:00;14:30;6;24
02.03.2017;14:30;15:00;0;0
02.03.2017;15:00;15:30;3;73
02.03.2017;15:30;16:00;7;32
02.03.2017;16:00;16:30;102;35
02.03.2017;16:30;17:00;3;70
02.03.2017;17:00;17:30;55;42
02.03.2017;17:30;18:00;0;0
02.03.2017;18:00;18:30;0;0
02.03.2017;18:30;19:00;27;18
02.03.2017;19:00;19:30;0;0
02.03.2017;19:30;20:00;4;14
02.03.2017;20:00;20:30;0;0
02.03.2017;20:30;21:00;8;173
02.03.2017;21:00;21:30;0;0
02.03.2017;21:30;22:00;0;0
02.03.2017;22:00;22:30;6;48
02.03.2017;22:30;23:00;0;0
02.03.2017;23:00;23:30;0;0
02.03.2017;23:30;0:00;0;0
03.03.2017;0:00;0:30;0;0
03.03.2017;0:30;1:00;0;0
03.03.2017;1:00;1:30;0;0
03.03.2017;1:30;2:00;0;0
03.03.2017;2:00;2:30;0;0
03.03.2017;2:30;3:00;0;0
03.03.2017;3:00;3:30;0;0
03.03.2017;3:30;4:00;0;0
03.03.2017;4:00;4:30;0;0
03.03.2017;4:30;5:00;0;0
03.03.2017;5:00;5:30;0;0
03.03.2017;5:30;6:00;0;0
03.03.2017;6:00;6:30;0;0
03.03.2017;6:30;7:00;0;0
03.03.2017;7:00;7:30;0;0
03.03.2017;7:30;8:00;0;0
03.03.2017;8:00;8:30;12;40
03.03.2017;8:30;9:00;10;75
03.03.2017;9:00;9:30;5;25
03.03.2017;9:30;10:00;13;48
03.03.2017;10:00;10:30;9;34
03.03.2017;10:30;11:00;6;25
03.03.2017;11:00;11:30;0;0
03.03.2017;11:30;12:00;92;59
03.03.2017;12:00;12:30;0;0
03.03.2017;12:30;13:00;34;40
03.03.2017;13:00;13:30;4;35
03.03.2017;13:30;14:00;3;32
03.03.2017;14:00;14:30;8;56
03.03.2017;14:30;15:00;0;0
03.03.2017;15:00;15:30;110;40
03.03.2017;15:30;16:00;7;85
03.03.2017;16:00;16:30;22;63
03.03.2017;16:30;17:00;0;0
03.03.2017;17:00;17:30;0;0
03.03.2017;17:30;18:00;0;0
03.03.2017;18:00;18:30;936;84
03.03.2017;18:30;19:00;0;0
03.03.2017;19:00;19:30;130;22
03.03.2017;19:30;20:00;86;66
03.03.2017;20:00;20:30;0;0
03.03.2017;20:30;21:00;0;0
03.03.2017;21:00;21:30;0;0
03.03.2017;21:30;22:00;0;0
03.03.2017;22:00;22:30;0;0
03.03.2017;22:30;23:00;0;0
03.03.2017;23:00;23:30;0;0
03.03.2017;23:30;0:00;0;0
03.03.2017;0:00;0:30;0;0
03.03.2017;0:30;1:00;0;0
03.03.2017;1:00;1:30;0;0
03.03.2017;1:30;2:00;0;0
03.03.2017;2:00;2:30;9;272
03.03.2017;2:30;3:00;0;0
03.03.2017;3:00;3:30;0;0
03.03.2017;3:30;4:00;0;0
03.03.2017;4:00;4:30;0;0
03.03.2017;4:30;5:00;0;0
03.03.2017;5:00;5:30;0;0
03.03.2017;5:30;6:00;0;0
03.03.2017;6:00;6:30;0;0
03.03.2017;6:30;7:00;7;61
03.03.2017;7:00;7:30;0;0
03.03.2017;7:30;8:00;0;0
03.03.2017;8:00;8:30;0;0
03.03.2017;8:30;9:00;6;34
03.03.2017;9:00;9:30;5;81
03.03.2017;9:30;10:00;5;54
03.03.2017;10:00;10:30;3;226
03.03.2017;10:30;11:00;3;36
03.03.2017;11:00;11:30;13;66
03.03.2017;11:30;12:00;3;111
03.03.2017;12:00;12:30;21;122
03.03.2017;12:30;13:00;3;222
03.03.2017;13:00;13:30;21;137
03.03.2017;13:30;14:00;41;65
03.03.2017;14:00;14:30;11;58
03.03.2017;14:30;15:00;17;38
03.03.2017;15:00;15:30;10;135
03.03.2017;15:30;16:00;3;285
03.03.2017;16:00;16:30;31;116
03.03.2017;16:30;17:00;107;167
03.03.2017;17:00;17:30;29;189
03.03.2017;17:30;18:00;13;160
03.03.2017;18:00;18:30;19;37
03.03.2017;18:30;19:00;5;15
03.03.2017;19:00;19:30;5;116
03.03.2017;19:30;20:00;41;89
03.03.2017;20:00;20:30;4;91
03.03.2017;20:30;21:00;4;96
03.03.2017;21:00;21:30;0;0
03.03.2017;21:30;22:00;0;0
03.03.2017;22:00;22:30;0;0
03.03.2017;22:30;23:00;0;0
03.03.2017;23:00;23:30;0;0
03.03.2017;23:30;0:00;3;162
03.03.2017;0:00;0:30;6;69
03.03.2017;0:30;1:00;6;72
03.03.2017;1:00;1:30;0;0
03.03.2017;1:30;2:00;9;207
03.03.2017;2:00;2:30;7;79
03.03.2017;2:30;3:00;17;164
03.03.2017;3:00;3:30;0;0
03.03.2017;3:30;4:00;0;0
03.03.2017;4:00;4:30;20;42
03.03.2017;4:30;5:00;0;0
03.03.2017;5:00;5:30;0;0
03.03.2017;5:30;6:00;8;94
03.03.2017;6:00;6:30;9;73
03.03.2017;6:30;7:00;12;66
03.03.2017;7:00;7:30;11;84
03.03.2017;7:30;8:00;40;98
03.03.2017;8:00;8:30;48;124
03.03.2017;8:30;9:00;12;116
03.03.2017;9:00;9:30;7;113
03.03.2017;9:30;10:00;7;112
03.03.2017;10:00;10:30;7;92
03.03.2017;10:30;11:00;5;118
03.03.2017;11:00;11:30;29;111
03.03.2017;11:30;12:00;19;113
03.03.2017;12:00;12:30;36;120
03.03.2017;12:30;13:00;42;94
03.03.2017;13:00;13:30;34;110
03.03.2017;13:30;14:00;88;136
03.03.2017;14:00;14:30;15;105
03.03.2017;14:30;15:00;15;121
03.03.2017;15:00;15:30;19;129
03.03.2017;15:30;16:00;42;119
03.03.2017;16:00;16:30;39;141
03.03.2017;16:30;17:00;171;101
03.03.2017;17:00;17:30;202;131
03.03.2017;17:30;18:00;338;139
03.03.2017;18:00;18:30;210;107
03.03.2017;18:30;19:00;24;101
03.03.2017;19:00;19:30;10;93
03.03.2017;19:30;20:00;55;139
03.03.2017;20:00;20:30;14;116
03.03.2017;20:30;21:00;62;155
03.03.2017;21:00;21:30;19;123
03.03.2017;21:30;22:00;4;122
03.03.2017;22:00;22:30;9;118
03.03.2017;22:30;23:00;5;159
03.03.2017;23:00;23:30;3;280
03.03.2017;23:30;0:00;5;152
04.03.2017;0:00;0:30;12;110
04.03.2017;0:30;1:00;9;242
04.03.2017;1:00;1:30;14;69
04.03.2017;1:30;2:00;0;0
04.03.2017;2:00;2:30;0;0
04.03.2017;2:30;3:00;17;44
04.03.2017;3:00;3:30;0;0
04.03.2017;3:30;4:00;19;244
04.03.2017;4:00;4:30;0;0
04.03.2017;4:30;5:00;18;92
04.03.2017;5:00;5:30;0;0
04.03.2017;5:30;6:00;0;0
04.03.2017;6:00;6:30;8;73
04.03.2017;6:30;7:00;0;0
04.03.2017;7:00;7:30;40;74
04.03.2017;7:30;8:00;6;77
04.03.2017;8:00;8:30;4;115
04.03.2017;8:30;9:00;4;120
04.03.2017;9:00;9:30;15;112
04.03.2017;9:30;10:00;15;123
04.03.2017;10:00;10:30;12;106
04.03.2017;10:30;11:00;5;104
04.03.2017;11:00;11:30;21;100
04.03.2017;11:30;12:00;61;139
04.03.2017;12:00;12:30;35;121
04.03.2017;12:30;13:00;87;149
04.03.2017;13:00;13:30;99;109
04.03.2017;13:30;14:00;36;128
04.03.2017;14:00;14:30;12;111
04.03.2017;14:30;15:00;11;125
04.03.2017;15:00;15:30;6;152
04.03.2017;15:30;16:00;18;123
04.03.2017;16:00;16:30;34;139
04.03.2017;16:30;17:00;15;122
04.03.2017;17:00;17:30;18;100
04.03.2017;17:30;18:00;79;152
04.03.2017;18:00;18:30;6;195
04.03.2017;18:30;19:00;5;136
04.03.2017;19:00;19:30;5;145
04.03.2017;19:30;20:00;5;95
04.03.2017;20:00;20:30;31;106
04.03.2017;20:30;21:00;47;148
04.03.2017;21:00;21:30;8;76
04.03.2017;21:30;22:00;5;95
04.03.2017;22:00;22:30;6;68
04.03.2017;22:30;23:00;15;142
04.03.2017;23:00;23:30;6;83
04.03.2017;23:30;0:00;7;344
04.03.2017;0:00;0:30;0;0
04.03.2017;0:30;1:00;0;0
04.03.2017;1:00;1:30;0;0
04.03.2017;1:30;2:00;0;0
04.03.2017;2:00;2:30;0;0
04.03.2017;2:30;3:00;0;0
04.03.2017;3:00;3:30;0;0
04.03.2017;3:30;4:00;0;0
04.03.2017;4:00;4:30;0;0
04.03.2017;4:30;5:00;0;0
04.03.2017;5:00;5:30;0;0
04.03.2017;5:30;6:00;0;0
04.03.2017;6:00;6:30;0;0
04.03.2017;6:30;7:00;0;0
04.03.2017;7:00;7:30;0;0
04.03.2017;7:30;8:00;0;0
04.03.2017;8:00;8:30;0;0
04.03.2017;8:30;9:00;3;57
04.03.2017;9:00;9:30;2;108
04.03.2017;9:30;10:00;27;127
04.03.2017;10:00;10:30;8;71
04.03.2017;10:30;11:00;2;46
04.03.2017;11:00;11:30;35;109
04.03.2017;11:30;12:00;82;55
04.03.2017;12:00;12:30;11;30
04.03.2017;12:30;13:00;28;69
04.03.2017;13:00;13:30;25;163
04.03.2017;13:30;14:00;12;33
04.03.2017;14:00;14:30;4;78
04.03.2017;14:30;15:00;0;0
04.03.2017;15:00;15:30;0;0
04.03.2017;15:30;16:00;18;106
04.03.2017;16:00;16:30;8;426
04.03.2017;16:30;17:00;3;497
04.03.2017;17:00;17:30;6;46
04.03.2017;17:30;18:00;0;0
04.03.2017;18:00;18:30;0;0
04.03.2017;18:30;19:00;0;0
04.03.2017;19:00;19:30;5;86
04.03.2017;19:30;20:00;0;0
04.03.2017;20:00;20:30;0;0
04.03.2017;20:30;21:00;14;119
04.03.2017;21:00;21:30;0;0
04.03.2017;21:30;22:00;0;0
04.03.2017;22:00;22:30;0;0
04.03.2017;22:30;23:00;0;0
04.03.2017;23:00;23:30;0;0
04.03.2017;23:30;0:00;0;0
04.03.2017;0:00;0:30;0;0
04.03.2017;0:30;1:00;0;0
04.03.2017;1:00;1:30;0;0
04.03.2017;1:30;2:00;0;0
04.03.2017;2:00;2:30;0;0
04.03.2017;2:30;3:00;0;0
04.03.2017;3:00;3:30;0;0
04.03.2017;3:30;4:00;0;0
04.03.2017;4:00;4:30;0;0
04.03.2017;4:30;5:00;0;0
04.03.2017;5:00;5:30;0;0
04.03.2017;5:30;6:00;0;0
04.03.2017;6:00;6:30;0;0
04.03.2017;6:30;7:00;0;0
04.03.2017;7:00;7:30;0;0
04.03.2017;7:30;8:00;0;0
04.03.2017;8:00;8:30;0;0
04.03.2017;8:30;9:00;8;47
04.03.2017;9:00;9:30;3;52
04.03.2017;9:30;10:00;3;37
04.03.2017;10:00;10:30;46;48
04.03.2017;10:30;11:00;0;0
04.03.2017;11:00;11:30;0;0
04.03.2017;11:30;12:00;116;13
04.03.2017;12:00;12:30;0;0
04.03.2017;12:30;13:00;0;0
04.03.2017;13:00;13:30;298;177
04.03.2017;13:30;14:00;18;50
04.03.2017;14:00;14:30;0;0
04.03.2017;14:30;15:00;0;0
04.03.2017;15:00;15:30;19;125
04.03.2017;15:30;16:00;0;0
04.03.2017;16:00;16:30;0;0
04.03.2017;16:30;17:00;32;60
04.03.2017;17:00;17:30;0;0
04.03.2017;17:30;18:00;0;0
04.03.2017;18:00;18:30;0;0
04.03.2017;18:30;19:00;0;0
04.03.2017;19:00;19:30;2;47
04.03.2017;19:30;20:00;0;0
04.03.2017;20:00;20:30;0;0
04.03.2017;20:30;21:00;0;0
04.03.2017;21:00;21:30;5;60
04.03.2017;21:30;22:00;0;0
04.03.2017;22:00;22:30;0;0
04.03.2017;22:30;23:00;0;0
04.03.2017;23:00;23:30;0;0
04.03.2017;23:30;0:00;0;0
05.03.2017;0:00;0:30;0;0
05.03.2017;0:30;1:00;0;0
05.03.2017;1:00;1:30;0;0
05.03.2017;1:30;2:00;0;0
05.03.2017;2:00;2:30;0;0
05.03.2017;2:30;3:00;0;0
05.03.2017;3:00;3:30;0;0
05.03.2017;3:30;4:00;0;0
05.03.2017;4:00;4:30;0;0
05.03.2017;4:30;5:00;0;0
05.03.2017;5:00;5:30;0;0
05.03.2017;5:30;6:00;0;0
05.03.2017;6:00;6:30;0;0
05.03.2017;6:30;7:00;0;0
05.03.2017;7:00;7:30;0;0
05.03.2017;7:30;8:00;6;53
05.03.2017;8:00;8:30;4;54
05.03.2017;8:30;9:00;0;0
05.03.2017;9:00;9:30;0;0
05.03.2017;9:30;10:00;0;0
05.03.2017;10:00;10:30;0;0
05.03.2017;10:30;11:00;0;0
05.03.2017;11:00;11:30;0;0
05.03.2017;11:30;12:00;8;56
05.03.2017;12:00;12:30;3;34
05.03.2017;12:30;13:00;0;0
05.03.2017;13:00;13:30;11;41
05.03.2017;13:30;14:00;0;0
05.03.2017;14:00;14:30;0;0
05.03.2017;14:30;15:00;0;0
05.03.2017;15:00;15:30;7;40
05.03.2017;15:30;16:00;0;0
05.03.2017;16:00;16:30;9;100
05.03.2017;16:30;17:00;0;0
05.03.2017;17:00;17:30;0;0
05.03.2017;17:30;18:00;9;98
05.03.2017;18:00;18:30;6;12
05.03.2017;18:30;19:00;0;0
05.03.2017;19:00;19:30;0;0
05.03.2017;19:30;20:00;3;50
05.03.2017;20:00;20:30;0;0
05.03.2017;20:30;21:00;0;0
05.03.2017;21:00;21:30;0;0
05.03.2017;21:30;22:00;4;61
05.03.2017;22:00;22:30;0;0
05.03.2017;22:30;23:00;0;0
05.03.2017;23:00;23:30;0;0
05.03.2017;23:30;0:00;0;0
05.03.2017;0:00;0:30;0;0
05.03.2017;0:30;1:00;0;0
05.03.2017;1:00;1:30;0;0
05.03.2017;1:30;2:00;0;0
05.03.2017;2:00;2:30;0;0
05.03.2017;2:30;3:00;0;0
05.03.2017;3:00;3:30;15;360
05.03.2017;3:30;4:00;16;119
05.03.2017;4:00;4:30;0;0
05.03.2017;4:30;5:00;0;0
05.03.2017;5:00;5:30;0;0
05.03.2017;5:30;6:00;0;0
05.03.2017;6:00;6:30;0;0
05.03.2017;6:30;7:00;0;0
05.03.2017;7:00;7:30;0;0
05.03.2017;7:30;8:00;2;120
05.03.2017;8:00;8:30;8;124
05.03.2017;8:30;9:00;5;269
05.03.2017;9:00;9:30;6;171
05.03.2017;9:30;10:00;8;182
05.03.2017;10:00;10:30;64;205
05.03.2017;10:30;11:00;8;133
05.03.2017;11:00;11:30;0;0
05.03.2017;11:30;12:00;6;47
05.03.2017;12:00;12:30;0;0
05.03.2017;12:30;13:00;0;0
05.03.2017;13:00;13:30;0;0
05.03.2017;13:30;14:00;0;0
05.03.2017;14:00;14:30;5;146
05.03.2017;14:30;15:00;5;207
05.03.2017;15:00;15:30;6;225
05.03.2017;15:30;16:00;0;0
05.03.2017;16:00;16:30;0;0
05.03.2017;16:30;17:00;0;0
05.03.2017;17:00;17:30;5;42
05.03.2017;17:30;18:00;0;0
05.03.2017;18:00;18:30;0;0
05.03.2017;18:30;19:00;6;76
05.03.2017;19:00;19:30;0;0
05.03.2017;19:30;20:00;0;0
05.03.2017;20:00;20:30;0;0
05.03.2017;20:30;21:00;6;92
05.03.2017;21:00;21:30;0;0
05.03.2017;21:30;22:00;0;0
05.03.2017;22:00;22:30;4;1
05.03.2017;22:30;23:00;0;0
05.03.2017;23:00;23:30;0;0
05.03.2017;23:30;0:00;0;0
05.03.2017;0:00;0:30;7;126
05.03.2017;0:30;1:00;0;0
05.03.2017;1:00;1:30;0;0
05.03.2017;1:30;2:00;0;0
05.03.2017;2:00;2:30;0;0
05.03.2017;2:30;3:00;0;0
05.03.2017;3:00;3:30;0;0
05.03.2017;3:30;4:00;15;80
05.03.2017;4:00;4:30;15;409
05.03.2017;4:30;5:00;18;135
05.03.2017;5:00;5:30;25;52
05.03.2017;5:30;6:00;15;82
05.03.2017;6:00;6:30;0;0
05.03.2017;6:30;7:00;9;362
05.03.2017;7:00;7:30;45;300
05.03.2017;7:30;8:00;6;73
05.03.2017;8:00;8:30;6;79
05.03.2017;8:30;9:00;7;71
05.03.2017;9:00;9:30;5;98
05.03.2017;9:30;10:00;7;105
05.03.2017;10:00;10:30;7;81
05.03.2017;10:30;11:00;12;94
05.03.2017;11:00;11:30;6;95
05.03.2017;11:30;12:00;9;90
05.03.2017;12:00;12:30;12;103
05.03.2017;12:30;13:00;11;85
05.03.2017;13:00;13:30;8;75
05.03.2017;13:30;14:00;5;106
05.03.2017;14:00;14:30;6;125
05.03.2017;14:30;15:00;5;156
05.03.2017;15:00;15:30;7;88
05.03.2017;15:30;16:00;14;107
05.03.2017;16:00;16:30;8;100
05.03.2017;16:30;17:00;7;80
05.03.2017;17:00;17:30;7;111
05.03.2017;17:30;18:00;7;100
05.03.2017;18:00;18:30;5;108
05.03.2017;18:30;19:00;8;153
05.03.2017;19:00;19:30;12;122
05.03.2017;19:30;20:00;7;120
05.03.2017;20:00;20:30;8;118
05.03.2017;20:30;21:00;7;134
05.03.2017;21:00;21:30;12;108
05.03.2017;21:30;22:00;6;70
05.03.2017;22:00;22:30;6;122
05.03.2017;22:30;23:00;8;156
05.03.2017;23:00;23:30;17;50
05.03.2017;23:30;0:00;11;60
06.03.2017;0:00;0:30;0;0
06.03.2017;0:30;1:00;0;0
06.03.2017;1:00;1:30;0;0
06.03.2017;1:30;2:00;0;0
06.03.2017;2:00;2:30;0;0
06.03.2017;2:30;3:00;0;0
06.03.2017;3:00;3:30;21;205
06.03.2017;3:30;4:00;24;283
06.03.2017;4:00;4:30;0;0
06.03.2017;4:30;5:00;18;304
06.03.2017;5:00;5:30;0;0
06.03.2017;5:30;6:00;16;99
06.03.2017;6:00;6:30;10;174
